Branch,Installation,City/Area,State/Country,Latitude,Longitude,Combatant Command,Major Command,Primary Combat Units,Approx Personnel,Aircraft / Major Combat Systems,Notes
Air Force,Little Rock AFB,Jacksonville,Arkansas,34.916944,-92.149722,TRANSCOM,AMC,19th Airlift Wing; 314th AW,"~6,000",C-130J Super Hercules,Center of excellence for C-130 operations.
Air Force,Joint Base McGuire-Dix-Lakehurst,Wrightstown,New Jersey,40.033056,-74.593611,TRANSCOM,AMC,87th ABW; 305th AMW; 108th Wing (ANG),"~40,000 (joint base)",KC-46A; C-17A; KC-135R,Only tri-service joint base.
Air Force,Joint Base Andrews,Camp Springs,Maryland,38.810833,-76.866944,NORTHCOM,AMC / ACC,89th Airlift Wing; 113th Wing (ANG); 316th Wing,"~17,000",VC-25A/B; C-32A; C-40; F-16C; UH-1N,Presidential airlift and National Capital Region air defense.
Air Force,Ramstein Air Base,Ramstein,Germany,49.436944,7.600278,EUCOM / AFRICOM,USAFE-AFAFRICA,86th Airlift Wing; USAFE-AFAFRICA HQ; 603rd AOC,"~9,000 mil",C-130J Super Hercules; C-40; C-21,Air component HQ for Europe and Africa.
Air Force,Yokota Air Base,Fussa,Japan,35.748611,139.348611,INDOPACOM,PACAF,374th Airlift Wing; USFJ HQ; 5th Air Force HQ,"~5,000 mil",C-130J Super Hercules; CV-22B Osprey; C-12J,US Forces Japan headquarters.
Air Force,Andersen AFB,Yigo,Guam,13.583889,144.924444,INDOPACOM,PACAF,36th Wing,"~4,500",Bomber Task Force rotations (B-52H/B-1B/B-2A); MQ-4C (Navy),Key Second Island Chain power-projection base.
Air Force,Joint Base Pearl Harbor-Hickam,Honolulu,Hawaii,21.318611,-157.949722,INDOPACOM,PACAF / Navy,15th Wing; 154th Wing (ANG); PACAF HQ; Pacific Fleet HQ,"~28,000 (joint base)",F-22A; C-17A; KC-135R; HH-60,Pacific Air Forces and Pacific Fleet headquarters.
Air Force,Altus AFB,Altus,Oklahoma,34.666944,-99.266944,NORTHCOM,AETC,97th Air Mobility Wing,"~3,000",C-17A; KC-46A; KC-135R (training),Mobility aircrew formal training.
Air Force,Edwards AFB,Edwards,California,34.905556,-117.883889,NORTHCOM,AFMC,412th Test Wing; USAF Test Pilot School,"~11,000",F-35; F-22; B-52; test fleet,Primary flight test center.
Air Force,Wright-Patterson AFB,Dayton,Ohio,39.826111,-84.048333,NORTHCOM,AFMC,88th ABW; NASIC; AFRL; 445th AW (AFRC),"~27,000",C-17A (AFRC),National Air and Space Intelligence Center.
Air Force,Al Udeid Air Base,Al Rayyan,Qatar,25.117222,51.315000,CENTCOM,AFCENT,379th Air Expeditionary Wing; Combined Air Operations Center,"~8,000",KC-135R; KC-46A; E-3G; RC-135; C-17A; rotational fighters,Main CENTCOM air hub and CAOC.
Air Force,Ali Al Salem Air Base,Al Jahra,Kuwait,29.346667,47.521111,CENTCOM,AFCENT,386th Air Expeditionary Wing,"~2,000",C-130J; rotational fighters; MQ-9A,Primary intra-theater airlift hub.
Air Force,Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,24.248056,54.547778,CENTCOM,AFCENT,380th Air Expeditionary Wing,"~3,500",Rotational F-22A/F-35A; KC-135R; RQ-4; MQ-9A,Key ISR and air superiority node.
Air Force,Prince Sultan Air Base,Al Kharj,Saudi Arabia,24.062778,47.581111,CENTCOM,AFCENT,378th Air Expeditionary Wing,"~2,500",Rotational fighters; Patriot batteries (Army),Reactivated 2019.
Air Force,Muwaffaq Salti Air Base,Azraq,Jordan,31.835833,36.786944,CENTCOM,AFCENT,332nd Air Expeditionary Wing,"~1,500",Rotational F-16C/F-15E; MQ-9A,Levant strike and ISR node.
Air Force,Ahmad al-Jaber Air Base,Al Ahmadi,Kuwait,28.935833,47.791944,CENTCOM,AFCENT,Rotational expeditionary units,"<1,000",Rotational fighters; A-10C (historic),Supports Kuwait-based air operations.
Air Force,Chabelley Airfield,Chabelley,Djibouti,11.503611,43.061111,AFRICOM,AFAFRICA,Expeditionary RPA detachment,<500,MQ-9A Reaper,Primary East Africa armed ISR site.
Air Force,Lajes Field,Terceira,Portugal (Azores),38.761667,-27.090833,EUCOM,USAFE-AFAFRICA,65th Air Base Group,~500,Transient airlift and tanker support,Mid-Atlantic refueling stopover.
Air Force,Incirlik Air Base,Adana,Turkey,37.001944,35.425833,EUCOM,USAFE-AFAFRICA,39th Air Base Wing,"~1,500",Rotational tankers and airlift,Hosts US nuclear weapons storage vaults.
Air Force,RAF Fairford,Gloucestershire,United Kingdom,51.682222,-1.790000,EUCOM / STRATCOM,USAFE,420th Air Base Squadron,<200 permanent,Bomber Task Force rotations (B-52H/B-1B/B-2A); RC-135,Forward operating location for strategic bombers.
Air Force,Joint Base San Antonio - Lackland,San Antonio,Texas,29.384167,-98.618611,NORTHCOM / CYBERCOM,AETC / 16th AF,37th Training Wing; 16th Air Force (Air Forces Cyber); 502nd Air Base Wing; 688th Cyberspace Wing,"~37,000",Basic Military Training (BMT) facilities; Cyber Command operations centers,The 'Gateway to the Air Force'; sole location for all USAF enlisted basic training.
Air Force,Joint Base San Antonio - Randolph,Universal City,Texas,29.529722,-98.278889,NORTHCOM,AETC,Air Education and Training Command (AETC) HQ; 12th Flying Training Wing; Air Force Personnel Center,"~15,000",T-38C Talon; T-6A Texan II; T-1A Jayhawk,Headquarters of AETC; primary instructor pilot training and pilot training development base.
Air Force,Joint Base Anacostia-Bolling (JBAB),Washington,D.C.,38.843611,-77.016111,NORTHCOM,AFDW,11th Wing; Defense Intelligence Agency (DIA) HQ; White House Communications Agency; USAF Honor Guard,"~17,000",UH-1N (NCR airlift); C-12 Huron; defense intelligence facilities,"Air Force-led joint base supporting the National Capital Region, diplomatic and defense intelligence operations."
Air Force,Columbus AFB,Columbus,Mississippi,33.643889,-88.443889,NORTHCOM,AETC,14th Flying Training Wing,"~3,500",T-38C Talon; T-6A Texan II; T-1A Jayhawk,Specialized Undergraduate Pilot Training (SUPT) base producing over 400 combat pilots annually.
Air Force,Laughlin AFB,Del Rio,Texas,29.359444,-100.777778,NORTHCOM,AETC,47th Flying Training Wing,"~3,000",T-38C Talon; T-6A Texan II; T-1A Jayhawk,The largest specialized undergraduate pilot training base in the USAF by pilot production volume.
Air Force,Vance AFB,Enid,Oklahoma,36.339167,-97.916389,NORTHCOM,AETC,71st Flying Training Wing,"~2,700",T-38C Talon; T-6A Texan II; T-1A Jayhawk,Key Specialized Undergraduate Pilot Training base in the central flying training corridor.
Air Force,Sheppard AFB,Wichita Falls,Texas,33.988889,-98.491944,NORTHCOM,AETC,80th Flying Training Wing (ENJJPT); 82nd Training Wing,"~15,000",T-38C Talon; T-6A Texan II; aircraft maintenance training rigs,"Hosts Euro-NATO Joint Jet Pilot Training (ENJJPT), the world's only multi-nation pilot training program."
Air Force,Keesler AFB,Biloxi,Mississippi,30.410833,-88.923611,NORTHCOM,AETC / AFRC,81st Training Wing; 403rd Wing (AFRC),"~11,000",WC-130J Hercules (Hurricane Hunters); C-130J; technical cyber suites,"Premier technical training hub for cyber, electronics, and weather; home of the 53rd WRS Hurricane Hunters."
Air Force,Goodfellow AFB,San Angelo,Texas,31.433056,-100.398889,NORTHCOM,AETC,17th Training Wing,"~5,000","Cryptologic, SIGINT, and firefighting training simulation complexes","DoD joint intelligence, surveillance, reconnaissance (ISR), and military fire protection training center."
Air Force,Maxwell AFB / Gunter Annex,Montgomery,Alabama,32.383056,-86.366389,NORTHCOM,AETC,Air University; 42nd Air Base Wing; Curtis E. LeMay Center; Squadron Officer School,"~12,500",Professional military education institutes; cyber infrastructure,The intellectual and leadership development center of the Air Force; home to Air University and Air War College.
Air Force,Hanscom AFB,Bedford,Massachusetts,42.470000,-71.289167,NORTHCOM,AFMC,"66th Air Base Group; AFLCMC Command, Control, Communications, Intelligence and Networks (C3I&N)","~10,000","Battle management, cyber defense, and radar acquisition programs",Only active duty Air Force base in New England; lead acquisition center for DoD battle management networks.
Air Force,United States Air Force Academy,Colorado Springs,Colorado,38.998333,-104.861389,NORTHCOM,HQ USAF,Cadet Wing; 306th Flying Training Group,"~7,000",T-53A; TG-16A gliders; UV-18B Twin Otter; soaring and airmanship fleet,Undergraduate officer academy providing commissioned officers for both the Air Force and Space Force.
Space Force,Pituffik Space Base,Pituffik,Greenland,76.531111,-68.703333,NORTHCOM / SPACECOM,USSF,821st Space Base Group; 12th Space Warning Squadron,~150 US mil,Upgraded Early Warning Radar (missile warning),Northernmost US installation; formerly Thule AB.
Space Force,Peterson Space Force Base,Colorado Springs,Colorado,38.824722,-104.700278,NORTHCOM / SPACECOM,SpOC,USNORTHCOM HQ; NORAD HQ; USSPACECOM HQ; Space Base Delta 1,"~11,000",Missile warning and space domain awareness C2,Homeland defense command hub.
Space Force,Schriever Space Force Base,Colorado Springs,Colorado,38.803889,-104.525833,SPACECOM,SpOC,Space Delta 8; Space Delta 9; 2nd Space Operations Squadron,"~8,000",GPS constellation control; orbital warfare systems,Operates the GPS constellation.
Space Force,Buckley Space Force Base,Aurora,Colorado,39.701667,-104.751667,SPACECOM,SpOC,Space Base Delta 2; Space Delta 4; 140th Wing (ANG),"~12,000",SBIRS missile warning; F-16C (ANG),Primary overhead missile warning site.
Space Force,Vandenberg Space Force Base,Lompoc,California,34.732778,-120.568056,SPACECOM,SpOC / STRATCOM,Space Launch Delta 30; Combined Space Operations Center,"~7,000",Space launch; Minuteman III test launches,Western Range; ICBM operational test launches.
Space Force,Patrick Space Force Base,Cocoa Beach,Florida,28.235000,-80.610000,SPACECOM,SpOC,Space Launch Delta 45; 920th Rescue Wing (AFRC),"~10,000",HH-60G/W; HC-130J (AFRC rescue),Supports Eastern Range operations.
Space Force,Cape Canaveral Space Force Station,Cape Canaveral,Florida,28.488889,-80.577778,SPACECOM,SpOC,Space Launch Delta 45,"~2,000",National security space launch complexes,Primary Eastern Range launch site.
Space Force,Los Angeles Space Force Base,El Segundo,California,33.918056,-118.378611,SPACECOM,SSC,Space Systems Command,"~6,000",Space acquisition (no operational systems),Space acquisition headquarters.
Space Force,Clear Space Force Station,Anderson,Alaska,64.290556,-149.186667,NORTHCOM / SPACECOM,SpOC,13th Space Warning Squadron,~200,Long Range Discrimination Radar; UEWR,Missile warning and midcourse discrimination.
Space Force,Cavalier Space Force Station,Cavalier,North Dakota,48.724167,-97.900833,NORTHCOM / SPACECOM,SpOC,10th Space Warning Squadron,~100,Perimeter Acquisition Radar Attack Characterization System,Legacy PARCS missile warning radar.
Space Force,Kaena Point Space Force Station,Oahu,Hawaii,21.574444,-158.271389,INDOPACOM / SPACECOM,SpOC,"Detachment 3, Space Delta 6",<100,Satellite control network antennas,Pacific satellite command and control node.
Space Force,Ascension Auxiliary Airfield,Ascension Island,United Kingdom (South Atlantic),-7.969722,-14.393889,AFRICOM / SPACECOM,SpOC,"Detachment 2, Space Launch Delta 45",<100,Eastern Range tracking; airfield,South Atlantic range and diversion airfield.
Space Force,New Boston Space Force Station,New Boston,New Hampshire,42.946944,-71.628889,SPACECOM,SpOC,23rd Space Operations Squadron,~150,Satellite Control Network tracking dishes and radomes,"Key northeast tracking station providing telemetry, tracking, and commanding for DoD satellite constellations."
Space Force,Maui Space Surveillance Complex,Maui,Hawaii,20.708333,-156.257500,SPACECOM,SpOC,15th Space Surveillance Squadron,~100,3.67m Advanced Electro-Optical System (AEOS) optical telescope; Maui Space Surveillance System,"Deep space optical tracking, satellite identification, and space domain awareness observatory at Haleakala."
Navy,Naval Support Facility Redzikowo (Aegis Ashore),Redzikowo,Poland,54.478889,17.108056,EUCOM,NAVEUR,Aegis Ashore Missile Defense System,~300,SM-3 interceptors; SPY-1 radar,NATO ballistic missile defense site (Navy-operated).
Navy,Naval Support Facility Deveselu (Aegis Ashore),Deveselu,Romania,44.066944,24.417222,EUCOM,NAVEUR,Aegis Ashore Missile Defense System,~200,SM-3 interceptors; SPY-1 radar,NATO ballistic missile defense site (Navy-operated).
Navy,Naval Support Facility Diego Garcia,Diego Garcia,British Indian Ocean Territory,-7.313333,72.411111,INDOPACOM / CENTCOM,Navy / AFGSC,Navy Support Facility; bomber and MPS support,~500 US mil,Bomber Task Force rotations; P-8A; prepositioning ships,Critical Indian Ocean strategic hub.
Navy,Naval Station Norfolk,Norfolk,Virginia,36.946111,-76.301389,NORTHCOM / Fleet Forces,USFF,US Fleet Forces Command; Naval Air Force Atlantic; carrier and surface groups,"~46,000 mil",Nimitz/Ford-class CVN homeport; DDG-51; CG-47; LHD/LHA; MH-60R/S,World's largest naval station.
Navy,Naval Air Station Oceana,Virginia Beach,Virginia,36.820833,-75.983333,NORTHCOM,USFF,Strike Fighter Wing Atlantic,"~10,000",F/A-18E/F Super Hornet; EA-18G Growler (Whidbey det.),Master jet base for East Coast strike fighters.
Navy,Naval Station Mayport,Jacksonville,Florida,30.395833,-81.428333,NORTHCOM / SOUTHCOM,USFF,Surface squadrons; 4th Fleet support,"~15,000",DDG-51; LCS Freedom-variant; LHA/LHD; MH-60R/S,Second-largest East Coast fleet concentration.
Navy,Naval Submarine Base New London,Groton,Connecticut,41.399167,-72.091111,NORTHCOM / STRATCOM,USFF,Submarine Group 2; Submarine Squadrons 4 and 12,"~11,000",Virginia-class and Los Angeles-class SSN,Home of the Submarine Force.
Navy,Naval Submarine Base Kings Bay,St. Marys,Georgia,30.798889,-81.528889,STRATCOM,USFF,Submarine Group 10; Strategic Weapons Facility Atlantic,"~9,000",Ohio-class SSBN; Trident II D5 SLBM,Atlantic ballistic missile submarine base.
Navy,Naval Air Station Jacksonville,Jacksonville,Florida,30.235833,-81.680556,NORTHCOM,USFF,Patrol and Reconnaissance Wing 11,"~20,000",P-8A Poseidon; MH-60R,East Coast maritime patrol hub.
Navy,Naval Station Newport,Newport,Rhode Island,41.533611,-71.326389,NORTHCOM,USFF,Naval War College; Surface Warfare Schools,"~7,000",Training and test craft,Primarily education and undersea warfare research.
Navy,Naval Weapons Station Yorktown,Yorktown,Virginia,37.218889,-76.511111,NORTHCOM,USFF,Ordnance loading; EOD units,"~2,500",Fleet ordnance,Munitions handling for the Atlantic Fleet.
Navy,Naval Weapons Station Earle,Colts Neck,New Jersey,40.280556,-74.148889,NORTHCOM,USFF,Ordnance handling,"~1,000",Ammunition ships / pier loading,East Coast strategic ordnance pier.
Navy,Naval Air Station Patuxent River,Lexington Park,Maryland,38.285833,-76.411667,NORTHCOM,NAVAIR,Naval Air Warfare Center Aircraft Division; USNTPS,"~22,000",F-35B/C; F/A-18; E-2D; test fleet,Naval aviation test and evaluation center.
Navy,Naval Air Station Key West,Key West,Florida,24.575833,-81.688889,NORTHCOM / SOUTHCOM,USFF,Fighter Squadron Composite 111 (VFC-111),"~3,000",F-5N/F Tiger II adversary aircraft,Adversary air training and Caribbean surveillance.
Navy,Naval Support Activity Panama City,Panama City,Florida,30.176389,-85.741667,NORTHCOM,USFF,Naval Surface Warfare Center; EOD/Diving,"~2,000",Mine warfare and unmanned undersea systems,Littoral and mine warfare R&D.
Navy,Naval Air Station Whiting Field,Milton,Florida,30.724444,-87.022222,NORTHCOM,CNATRA,Training Air Wing 5,"~4,000",T-6B Texan II; TH-73A Thrasher,Primary and rotary-wing flight training.
Navy,Naval Air Station Pensacola,Pensacola,Florida,30.352778,-87.317500,NORTHCOM,CNATRA,Naval Aviation Schools Command; Blue Angels,"~16,000",T-6B; F/A-18 (Blue Angels),Cradle of naval aviation.
Navy,Naval Base San Diego,San Diego,California,32.684722,-117.126389,INDOPACOM,PACFLT,Naval Surface Force Pacific; multiple destroyer squadrons,"~35,000 mil",DDG-51; CG-47; LPD-17; LHA/LHD; LCS Independence-variant,Principal Pacific Fleet surface homeport.
Navy,Naval Air Station North Island (JB Coronado),Coronado,California,32.699167,-117.215278,INDOPACOM,PACFLT,Naval Air Force Pacific; Naval Special Warfare Command,"~30,000 (joint base)",Nimitz-class CVN; MH-60R/S; E-2D Hawkeye; C-2A,Also home to Naval Special Warfare (SEAL teams).
Navy,Naval Air Station Lemoore,Lemoore,California,36.333333,-119.951944,INDOPACOM,PACFLT,Strike Fighter Wing Pacific,"~9,000",F/A-18E/F Super Hornet; F-35C Lightning II,Only West Coast master jet base; largest F-35C concentration.
Navy,Naval Air Station Whidbey Island,Oak Harbor,Washington,48.351667,-122.655833,INDOPACOM,PACFLT,Electronic Attack Wing Pacific; Patrol and Reconnaissance Wing 10,"~10,000",EA-18G Growler; P-8A Poseidon; EP-3 (retired),All Navy electronic attack squadrons are based here.
Navy,Naval Base Kitsap (Bangor/Bremerton),Silverdale,Washington,47.721667,-122.728889,STRATCOM / INDOPACOM,PACFLT,Submarine Group 9; Strategic Weapons Facility Pacific,"~13,000",Ohio-class SSBN and SSGN; Virginia-class SSN; CVN drydock,Pacific ballistic missile submarine base.
Navy,Naval Station Everett,Everett,Washington,47.981944,-122.219722,INDOPACOM,PACFLT,Destroyer Squadron 9,"~6,000",DDG-51 Arleigh Burke-class,Modern deep-draft surface homeport.
Navy,Naval Base Point Loma,San Diego,California,32.700833,-117.243889,INDOPACOM,PACFLT,Submarine Squadron 11,"~5,000",Los Angeles / Virginia-class SSN,West Coast attack submarine homeport.
Navy,Naval Air Station Fallon,Fallon,Nevada,39.416667,-118.700833,INDOPACOM,PACFLT,Naval Aviation Warfighting Development Center (TOPGUN),"~1,500",F/A-18E/F; F-16 adversary; E-2D; MH-60,Navy strike and air superiority training center.
Navy,Naval Air Weapons Station China Lake,Ridgecrest,California,35.688333,-117.691944,NORTHCOM,NAVAIR,Naval Air Warfare Center Weapons Division,"~4,500",Weapons test and evaluation range,Primary Navy weapons development range.
Navy,Naval Base Ventura County (Point Mugu / Port Hueneme),Oxnard,California,34.120000,-119.120000,INDOPACOM,PACFLT,Naval Construction Battalions (Seabees); VX-30,"~19,000",MQ-4C Triton; E-2D; test range aircraft,Sea range and Seabee homeport.
Navy,Joint Base Pearl Harbor-Hickam (Navy),Honolulu,Hawaii,21.350000,-157.940000,INDOPACOM,PACFLT,US Pacific Fleet HQ; Submarine Force Pacific; Destroyer Squadron 31,"~28,000 (joint base)",Virginia/Los Angeles-class SSN; DDG-51; P-8A; MH-60R,Pacific Fleet headquarters.
Navy,Naval Base Guam (Apra Harbor),Santa Rita,Guam,13.443056,144.654444,INDOPACOM,PACFLT,Submarine Squadron 15; Task Force 75,"~7,000",Los Angeles/Virginia-class SSN; submarine tenders,Forward Western Pacific submarine base.
Navy,Naval Station Rota,Rota,Spain,36.645000,-6.348611,EUCOM,NAVEUR,Destroyer Squadron 60 forward-deployed ships,"~4,000",DDG-51 with Aegis BMD (4 ships); P-8A rotations,European Phased Adaptive Approach missile defense.
Navy,Naval Support Activity Naples,Naples,Italy,40.880556,14.288889,EUCOM / AFRICOM,NAVEUR-NAVAF,US Sixth Fleet; Naval Forces Europe-Africa HQ,"~5,000",Command ship USS Mount Whitney (Gaeta),Naval component HQ for Europe and Africa.
Navy,Naval Air Station Sigonella,Sicily,Italy,37.401667,14.921944,EUCOM / AFRICOM,NAVEUR-NAVAF,Task Force 67; Maritime patrol detachments,"~4,000",P-8A Poseidon; MQ-4C Triton; MQ-9A,Mediterranean ISR and maritime patrol hub.
Navy,Naval Support Activity Souda Bay,Crete,Greece,35.531667,24.149722,EUCOM,NAVEUR-NAVAF,Logistics and port support,"~1,000",Transient aircraft; deep-water port,Key eastern Mediterranean logistics node.
Navy,Fleet Activities Yokosuka,Yokosuka,Japan,35.292778,139.667500,INDOPACOM,PACFLT,US Seventh Fleet; Task Force 70; Destroyer Squadron 15,"~20,000",Forward-deployed CVN (USS George Washington); CG-47; DDG-51,Only forward-deployed US carrier homeport.
Navy,Fleet Activities Sasebo,Sasebo,Japan,33.164444,129.715556,INDOPACOM,PACFLT,Amphibious Force 7th Fleet; Task Force 76,"~5,000",LHA America-class; LPD/LSD; MCM support,Forward-deployed amphibious ready group.
Navy,Naval Air Facility Atsugi,Ayase,Japan,35.454722,139.450278,INDOPACOM,PACFLT,Helicopter Maritime Strike squadrons,"~4,000",MH-60R/S,Fixed-wing CVW-5 moved to MCAS Iwakuni in 2018.
Navy,Naval Air Facility Misawa,Misawa,Japan,40.703333,141.368333,INDOPACOM,PACFLT,Patrol and reconnaissance detachments,"~1,000",P-8A Poseidon rotations,Northern Japan maritime patrol node.
Navy,Fleet Activities Chinhae,Changwon,South Korea,35.143889,128.660833,INDOPACOM,PACFLT,Commander Naval Forces Korea,~500,Port support; MCM support,Only US naval base in South Korea.
Navy,Naval Support Activity Bahrain,Manama,Bahrain,26.213889,50.608056,CENTCOM,NAVCENT,US Fifth Fleet; Task Force 55; Task Force 59,"~9,000",MCM/patrol craft; unmanned surface vessels; MH-60S,Fifth Fleet headquarters and unmanned systems task force.
Navy,Camp Lemonnier,Djibouti City,Djibouti,11.545833,43.149722,AFRICOM,NAVAF / CJTF-HOA,Combined Joint Task Force-Horn of Africa,"~4,000",P-8A; MQ-9A (via Chabelley); rotorcraft,Only enduring US base in Africa.
Navy,Naval Station Guantanamo Bay,Guantanamo Bay,Cuba,19.905556,-75.161111,SOUTHCOM,USFF,Joint Task Force Guantanamo,"~6,000",Port and airfield support,Oldest overseas US naval base.
Navy,Naval Air Station Corpus Christi,Corpus Christi,Texas,27.692778,-97.288889,NORTHCOM,CNATRA,Training Air Wing 4,"~6,000",T-6B Texan II,Multi-engine and primary flight training.
Navy,Naval Air Station Kingsville,Kingsville,Texas,27.507500,-97.809722,NORTHCOM,CNATRA,Training Air Wing 2,"~2,500",T-45C Goshawk,Strike aviation advanced training.
Navy,Naval Air Station Meridian,Meridian,Mississippi,32.551944,-88.555556,NORTHCOM,CNATRA,Training Air Wing 1,"~3,000",T-45C Goshawk,Strike aviation training.
Navy,Naval Air Station Joint Reserve Base Fort Worth,Fort Worth,Texas,32.778889,-97.441944,NORTHCOM,Reserve,301st Fighter Wing (AFRC); VFA-204 (Navy Reserve); VMFA-112 (USMC Reserve),"~10,000",F-16C; F/A-18 Hornet; F-5N,Multi-service reserve air base.
Navy,Naval Air Station Joint Reserve Base New Orleans,Belle Chasse,Louisiana,29.824167,-90.035278,NORTHCOM,Reserve,159th Fighter Wing (ANG); Navy/Marine Reserve squadrons,"~4,000",F-15C/D; HH-60,Gulf Coast reserve air complex.
Navy,Portsmouth Naval Shipyard,Kittery,Maine,43.080556,-70.741667,NORTHCOM,NAVSEA,Submarine overhaul,"~7,000",SSN maintenance,Nuclear attack submarine depot maintenance.
Navy,Puget Sound Naval Shipyard,Bremerton,Washington,47.560000,-122.628056,INDOPACOM,NAVSEA,Carrier and submarine overhaul,"~14,000",CVN and SSN/SSBN maintenance,Only West Coast full-service nuclear shipyard.
Navy,Norfolk Naval Shipyard,Portsmouth,Virginia,36.818889,-76.299722,NORTHCOM,NAVSEA,Carrier and submarine overhaul,"~11,000",CVN and SSN maintenance,Oldest US naval shipyard.
Navy,Pearl Harbor Naval Shipyard,Honolulu,Hawaii,21.361111,-157.958056,INDOPACOM,NAVSEA,Submarine overhaul,"~6,000",SSN maintenance,Only full-service shipyard in the Pacific theater.
Navy,Naval Station Great Lakes,North Chicago,Illinois,42.308333,-87.848889,NORTHCOM,NETC,Recruit Training Command (RTC); Training Support Center,"~25,000",USS Trayer (BST-21) battle stations simulator; naval technical classrooms,"The US Navy's only boot camp; transforms ~40,000 civilians into enlisted sailors annually."
Navy,Washington Navy Yard,Washington,D.C.,38.874444,-76.995000,NORTHCOM,CNIC,Chief of Naval Operations HQ; Naval Sea Systems Command (NAVSEA) HQ; Naval History & Heritage Command,"~16,000",Naval systems program executive offices; ceremonial facilities,The oldest shore establishment of the US Navy; ceremonial gateway and naval engineering acquisition HQ.
Navy,Naval Support Activity Bethesda,Bethesda,Maryland,39.001667,-77.095000,NORTHCOM,CNIC,Walter Reed National Military Medical Center; Uniformed Services University of the Health Sciences,"~15,000",Flagship military medical center; high-level surgical and trauma suites,Premier joint military medical center; provides specialized tertiary healthcare to service members and leadership.
Navy,Naval Support Activity Monterey,Monterey,California,36.598611,-121.874444,NORTHCOM,CNIC,Naval Postgraduate School; Fleet Numerical Meteorology and Oceanography Center,"~3,500",Defense graduate research laboratories; global ocean and atmospheric models,Graduate education center of excellence for naval officers and international defense allies.
Navy,Naval Support Activity Annapolis (USNA),Annapolis,Maryland,38.981667,-76.484444,NORTHCOM,CNIC,United States Naval Academy; Brigade of Midshipmen,"~7,000",Yard Patrol craft (YP); offshore sailing fleet; naval engineering laboratories,Undergraduate officer academy for the US Navy and Marine Corps (est. 1845).
Navy,Naval Support Activity Charleston (Goose Creek),Goose Creek,South Carolina,32.990278,-79.951389,NORTHCOM,NETC,Naval Nuclear Power Training Command (NNPTC); Nuclear Power Training Unit (NPTU),"~8,000",Moored Training Ships (MTS operational nuclear submarine reactors),Provides all nuclear propulsion plant operator and officer training for the US submarine and CVN fleet.
Marine Corps,Marine Corps Base Camp Pendleton,Oceanside,California,33.308889,-117.391667,INDOPACOM,I MEF,1st Marine Division; 1st Marine Logistics Group; I MEF HQ,"~40,000",M1A1 Abrams (divested); AAV/ACV; M777; HIMARS,Largest West Coast Marine base.
Marine Corps,Marine Corps Base Camp Lejeune,Jacksonville,North Carolina,34.693889,-77.348889,NORTHCOM / CENTCOM,II MEF,2nd Marine Division; 2nd MLG; II MEF HQ; MARSOC (Stone Bay),"~45,000",ACV; M777; HIMARS; LAV-25,Largest East Coast Marine base.
Marine Corps,Marine Corps Air Station Cherry Point,Havelock,North Carolina,34.900833,-76.880833,NORTHCOM,2nd MAW,2nd Marine Aircraft Wing HQ,"~9,000",F-35B/C; AV-8B Harrier II (sunsetting); KC-130J; MV-22B,East Coast Marine fixed-wing hub.
Marine Corps,Marine Corps Air Station New River,Jacksonville,North Carolina,34.708333,-77.439444,NORTHCOM,2nd MAW,Marine Aircraft Group 26 and 29,"~6,000",MV-22B Osprey; CH-53E/K Super Stallion; UH-1Y; AH-1Z,Primary East Coast assault support base.
Marine Corps,Marine Corps Air Station Miramar,San Diego,California,32.868333,-117.142500,INDOPACOM,3rd MAW,3rd Marine Aircraft Wing HQ,"~12,000",F-35C; F/A-18C/D; MV-22B; CH-53E; KC-130J,West Coast Marine aviation hub.
Marine Corps,Marine Corps Air Station Yuma,Yuma,Arizona,32.656667,-114.606111,NORTHCOM,3rd MAW,MAWTS-1; Marine Aircraft Group 13,"~7,000",F-35B Lightning II; adversary F-5N; MQ-9A,Marine aviation weapons and tactics school.
Marine Corps,Marine Corps Air Station Camp Pendleton,Oceanside,California,33.294167,-117.355000,INDOPACOM,3rd MAW,Marine Aircraft Group 39,"~3,000",AH-1Z Viper; UH-1Y Venom; MV-22B,Rotary-wing assault support.
Marine Corps,Marine Corps Air Station Beaufort,Beaufort,South Carolina,32.477500,-80.723056,NORTHCOM,2nd MAW,Marine Aircraft Group 31; VMFAT-501,"~6,000",F-35B Lightning II; F/A-18C/D (sunsetting),F-35B training and operational squadrons.
Marine Corps,Marine Corps Air Ground Combat Center Twentynine Palms,Twentynine Palms,California,34.236944,-116.056944,NORTHCOM,TECOM / I MEF,7th Marine Regiment; MAGTF Training Command,"~12,000",Combined arms live-fire range complex,Largest Marine Corps training installation.
Marine Corps,Marine Corps Base Quantico,Quantico,Virginia,38.521944,-77.342778,NORTHCOM,HQMC,Marine Corps Combat Development Command; HMX-1,"~12,000",VH-92A Patriot; MV-22B (HMX-1),Presidential helicopter squadron; doctrine center.
Marine Corps,Marine Corps Base Hawaii,Kaneohe Bay,Hawaii,21.448056,-157.768611,INDOPACOM,III MEF,3rd Marine Littoral Regiment,"~9,000",MV-22B; KC-130J; NMESIS anti-ship missile system,"First Marine Littoral Regiment, built for Pacific sea denial."
